D:\software\anaconda\envs\POP-net\python.exe E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py 
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:17: DeprecationWarning: Please use `maximum_filter` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import maximum_filter
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:18: DeprecationWarning: Please use `binary_dilation` from the `scipy.ndimage` namespace, the `scipy.ndimage.morphology` namespace is deprecated.
  from scipy.ndimage.morphology import binary_dilation
  loss_det_foreground:0.2970  loss_det_background:0.2836  repeatability:2.7717  point_number:340.47 

## ep:0 iter:122/4999 ##  loss_detection:0.707  loss_description:0.1886  loss_informativeness:0.0000 
  loss_det_foreground:0.3472  loss_det_background:0.2261  repeatability:2.4476  point_number:287.38 

## ep:0 iter:126/4999 ##  loss_detection:0.796  loss_description:0.1887  loss_informativeness:0.0000 
  loss_det_foreground:0.3505  loss_det_background:0.2308  repeatability:2.5515  point_number:293.54 

## ep:0 iter:130/4999 ##  loss_detection:0.761  loss_description:0.1885  loss_informativeness:0.0000 
  loss_det_foreground:0.2905  loss_det_background:0.2346  repeatability:2.5404  point_number:264.21 

## ep:0 iter:134/4999 ##  loss_detection:0.782  loss_description:0.1886  loss_informativeness:0.0000 
  loss_det_foreground:0.3096  loss_det_background:0.2499  repeatability:2.3420  point_number:245.86 

## ep:0 iter:138/4999 ##  loss_detection:0.664  loss_description:0.1883  loss_informativeness:0.0000 
  loss_det_foreground:0.2682  loss_det_background:0.2620  repeatability:2.5350  point_number:286.38 

## ep:0 iter:142/4999 ##  loss_detection:0.677  loss_description:0.1880  loss_informativeness:0.0000 
  loss_det_foreground:0.2956  loss_det_background:0.2654  repeatability:2.6527  point_number:313.34 

## ep:0 iter:146/4999 ##  loss_detection:0.727  loss_description:0.1881  loss_informativeness:0.0000 
  loss_det_foreground:0.3270  loss_det_background:0.2514  repeatability:2.7504  point_number:323.57 

## ep:0 iter:150/4999 ##  loss_detection:0.583  loss_description:0.1880  loss_informativeness:0.0000 
  loss_det_foreground:0.3004  loss_det_background:0.2264  repeatability:2.9155  point_number:340.97 

## ep:0 iter:154/4999 ##  loss_detection:0.694  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2949  loss_det_background:0.2268  repeatability:2.5365  point_number:259.45 

## ep:0 iter:158/4999 ##  loss_detection:0.676  loss_description:0.1884  loss_informativeness:0.0000 
  loss_det_foreground:0.3141  loss_det_background:0.2337  repeatability:2.2123  point_number:247.93 

## ep:0 iter:162/4999 ##  loss_detection:0.779  loss_description:0.1883  loss_informativeness:0.0000 
  loss_det_foreground:0.3122  loss_det_background:0.2412  repeatability:2.3104  point_number:312.22 

## ep:0 iter:166/4999 ##  loss_detection:0.578  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2767  loss_det_background:0.2289  repeatability:2.3149  point_number:287.61 

## ep:0 iter:170/4999 ##  loss_detection:0.618  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.2868  loss_det_background:0.2466  repeatability:3.0543  point_number:359.45 

## ep:0 iter:174/4999 ##  loss_detection:0.813  loss_description:0.1882  loss_informativeness:0.0000 
  loss_det_foreground:0.3279  loss_det_background:0.2210  repeatability:2.5409  point_number:294.84 

## ep:0 iter:178/4999 ##  loss_detection:0.726  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.3095  loss_det_background:0.2009  repeatability:2.5799  point_number:312.94 

## ep:0 iter:182/4999 ##  loss_detection:0.629  loss_description:0.1875  loss_informativeness:0.0000 
  loss_det_foreground:0.2752  loss_det_background:0.2330  repeatability:3.0428  point_number:311.10 

## ep:0 iter:186/4999 ##  loss_detection:0.620  loss_description:0.1866  loss_informativeness:0.0000 
  loss_det_foreground:0.3013  loss_det_background:0.2155  repeatability:2.3499  point_number:316.94 

## ep:0 iter:190/4999 ##  loss_detection:0.635  loss_description:0.1862  loss_informativeness:0.0000 
  loss_det_foreground:0.2953  loss_det_background:0.2169  repeatability:2.9298  point_number:355.98 

## ep:0 iter:194/4999 ##  loss_detection:0.707  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2921  loss_det_background:0.2433  repeatability:2.8119  point_number:352.87 

## ep:0 iter:198/4999 ##  loss_detection:0.599  loss_description:0.1881  loss_informativeness:0.0000 
  loss_det_foreground:0.3013  loss_det_background:0.2025  repeatability:2.6188  point_number:269.48 

## ep:0 iter:202/4999 ##  loss_detection:0.869  loss_description:0.1867  loss_informativeness:0.0000 
  loss_det_foreground:0.3318  loss_det_background:0.2203  repeatability:2.5995  point_number:354.09 

## ep:0 iter:206/4999 ##  loss_detection:0.685  loss_description:0.1891  loss_informativeness:0.0000 
  loss_det_foreground:0.2790  loss_det_background:0.2413  repeatability:2.5024  point_number:329.28 

## ep:0 iter:210/4999 ##  loss_detection:0.670  loss_description:0.1882  loss_informativeness:0.0000 
  loss_det_foreground:0.2797  loss_det_background:0.2734  repeatability:2.4360  point_number:404.76 

## ep:0 iter:214/4999 ##  loss_detection:0.603  loss_description:0.1877  loss_informativeness:0.0000 
  loss_det_foreground:0.3299  loss_det_background:0.2223  repeatability:2.2408  point_number:274.01 

## ep:0 iter:218/4999 ##  loss_detection:0.548  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2710  loss_det_background:0.2076  repeatability:2.5755  point_number:341.82 

## ep:0 iter:222/4999 ##  loss_detection:0.595  loss_description:0.1881  loss_informativeness:0.0000 
  loss_det_foreground:0.2443  loss_det_background:0.2197  repeatability:2.5970  point_number:282.04 

## ep:0 iter:226/4999 ##  loss_detection:0.789  loss_description:0.1882  loss_informativeness:0.0000 
  loss_det_foreground:0.3325  loss_det_background:0.1847  repeatability:2.2445  point_number:284.36 

## ep:0 iter:230/4999 ##  loss_detection:0.603  loss_description:0.1863  loss_informativeness:0.0000 
  loss_det_foreground:0.2250  loss_det_background:0.2406  repeatability:2.6075  point_number:292.66 

## ep:0 iter:234/4999 ##  loss_detection:0.594  loss_description:0.1878  loss_informativeness:0.0000 
